Generated,Reference,Model,Run,WuP,GloVe-Similarity,Sensorimotor Distance,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Compilation
Halve,Close,gpt-3.5-turbo-0301,1,0.2,0.026859529316425323,0.0855097373008226,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9538000822067261,0.8642741108240543,47,0
Hold,Close,gpt-3.5-turbo-0301,1,0.3333333333333333,0.7839381098747253,0.143589044210939,0.08049288013972065,0.346456688992498,0.2048192732123676,0.330708657496435,0.9015236496925354,0.2844121394317191,15,0
Open,Close,gpt-3.5-turbo-0301,1,0.3333333333333333,0.720828115940094,0.045264758045214,0.6734221254403355,0.8023952046455591,0.7557603637410011,0.8023952046455591,0.9521246552467346,0.7796003022130326,36,0
Pick-Up,Close,gpt-3.5-turbo-0301,1,0.25,0.5153879523277283,0.0702866678284649,0.7379874920076877,0.7065868214120263,0.5844748809099061,0.7065868214120263,0.9522169232368469,0.72778990026107,39,0
Place-Down,Close,gpt-3.5-turbo-0301,1,0.25,0.7576097846031189,0.0519029166068075,0.43097591485689807,0.4836601259515571,0.29999999524200005,0.45751633510188394,0.9462898373603821,0.5249541447459932,31,0
Pour,Close,gpt-3.5-turbo-0301,1,0.25,0.2032543271780014,0.0815941431836668,0.7493541191724107,0.7999999950106509,0.6415094289936634,0.7794871744978304,0.9581091403961182,0.9389513726369932,56,0
Slice,Close,gpt-3.5-turbo-0301,1,0.2222222222222222,0.38084927201271057,0.0887489492764253,0.903967223202745,0.7999999950001462,0.6721311425409836,0.7999999950001462,0.9561603665351868,0.8589986871350243,48,0
Wipe,Close,gpt-3.5-turbo-0301,1,0.25,0.30312448740005493,0.1558799708666,0.8323631609917244,0.7830687780700429,0.643137249911265,0.7724867674880322,0.9629873037338257,0.8526115921957788,52,0
Close,Halve,gpt-3.5-turbo-0301,1,0.2,0.026859529316425323,0.0855097373008226,0.8667145520426548,0.7363636313673555,0.6909090859120294,0.7363636313673555,0.9567964673042297,0.8652865460707942,55,1
Hold,Halve,gpt-3.5-turbo-0301,1,0.25,0.18634237349033356,0.0978263036860699,0.45181036212280623,0.622950814948192,0.5839416011122064,0.622950814948192,0.9422805905342102,0.5756824042869729,38,1
Open,Halve,gpt-3.5-turbo-0301,1,0.25,0.13741867244243622,0.0827258509852445,0.8667145520426548,0.7363636313673555,0.6909090859120294,0.7363636313673555,0.9557874798774719,0.8616260026356696,55,1
Pick-Up,Halve,gpt-3.5-turbo-0301,1,0.2,0.1682203710079193,0.0710081231639225,0.47024871777039706,0.670270265515851,0.6304347778610061,0.670270265515851,0.9440234303474426,0.6002709387900829,35,0
Place-Down,Halve,gpt-3.5-turbo-0301,1,0.2,0.11310732364654541,0.114183228214588,0.7323716803486724,0.6116504804840229,0.5632911342647413,0.6116504804840229,0.9490187764167786,0.759628925104812,51,0
Pour,Halve,gpt-3.5-turbo-0301,1,0.2,0.3157775104045868,0.0776414292502186,0.7190216205661604,0.534482753624034,0.4249291734792832,0.534482753624034,0.9407174587249756,0.7898564595816214,63,1
Slice,Halve,gpt-3.5-turbo-0301,1,0.18181818181818182,0.37714821100234985,0.0934805650414641,0.9606695686516564,0.9107142807146844,0.8757396399704143,0.9107142807146844,0.9880003333091736,0.9542495810992068,58,1
Wipe,Halve,gpt-3.5-turbo-0301,1,0.2,0.5097622871398926,0.118278224124008,0.7819366543858782,0.5769230719605215,0.5236593010156337,0.5769230719605215,0.9473660588264465,0.7772891154310537,56,1
Close,Hold,gpt-3.5-turbo-0301,1,0.3333333333333333,0.7839381098747253,0.143589044210939,0.35082137009957093,0.5594405548515821,0.3738317712057822,0.5594405548515821,0.9441676139831543,0.546439725687342,23,0
Halve,Hold,gpt-3.5-turbo-0301,1,0.25,0.18634237349033356,0.0978263036860699,0.8113337116256215,0.7005649667592327,0.5873605898072167,0.666666661674487,0.9503989219665527,0.8134220395856305,48,0
Open,Hold,gpt-3.5-turbo-0301,1,0.5,0.739703357219696,0.103886621549432,0.900964471496862,0.891428566441796,0.840148693896436,0.8571428521560817,0.9587498903274536,0.9091489518237129,47,0
Pick-Up,Hold,gpt-3.5-turbo-0301,1,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.9808005446465402,0.9670329620335709,0.9499999950002551,0.9670329620335709,0.9891449809074402,0.9852361228858594,51,1
